reference_split,comparison_split,feature,channel,statistic,reference_mean,comparison_mean,standardized_mean_difference,population_stability_index,jensen_shannon_divergence,model_importance,importance_weighted_smd
train,test,b04_2022__mean,b04_2022,mean,0.513060450553894,0.4942469894886017,0.9976709485054016,1.4179058735106058,0.23045258366618582,0.0049072931147475,0.004895863776384165
train,test,b08_2022__p75,b08_2022,p75,-0.32235145568847656,-0.3273073136806488,0.24866335093975067,2.6826878335643056,0.39600118917162247,0.0196571502576007,0.004888012852981173
train,test,b04_2018__p90,b04_2018,p90,0.14327622950077057,0.14580726623535156,0.36788737773895264,9.876742964525613,0.4361285639286431,0.0131529958673697,0.00483882115905792
train,test,b04_2022__min,b04_2022,min,0.32357046008110046,0.35925403237342834,0.43829938769340515,0.5591959009174295,0.0954822779840196,0.0108519889925266,0.0047564201306799815
train,test,b03_2018__std,b03_2018,std,0.0038897355552762747,0.003138660453259945,0.3167048990726471,0.7369977563050625,0.12295838102835752,0.0148688620425372,0.004709041452506857
train,test,b08_2018__p90,b08_2018,p90,0.12488261610269547,0.12921428680419922,0.506977379322052,11.914179872560899,0.6297491633416001,0.0086862465538857,0.004403730514034177
train,test,b08_2022__p10,b08_2022,p10,-0.41583016514778137,-0.38777101039886475,0.8837293386459351,2.318261163981782,0.3259976294444202,0.0047868500419018,0.004230279821727145
train,test,b04_2022__median,b04_2022,median,0.5181166529655457,0.49642306566238403,1.2391108274459839,1.918896720364314,0.2897675275609461,0.003382877482301,0.004191760116242379
train,test,b04_2018__p75,b04_2018,p75,0.13837715983390808,0.14254453778266907,0.9758577942848206,10.795740780737107,0.5409714805200121,0.0041010768532419,0.004002067812197174
train,test,ndvi_2022__p90,ndvi_2022,p90,0.023154234513640404,0.025657756254076958,0.7865877151489258,5.053569997201569,0.2396876478512393,0.0050584325363505,0.003978900891002926
train,test,b02_2018__median,b02_2018,median,0.2662307024002075,0.2534284293651581,0.8601942658424377,1.01075648434128,0.1692472958716462,0.0045407944297257,0.0039059653308193294
train,test,b02_2018__mean,b02_2018,mean,0.2658555507659912,0.25368034839630127,0.7999380826950073,0.9585158241524702,0.16084088375938463,0.0047844275587662,0.0038272458081525886
train,test,b08_2022__p25,b08_2022,p25,-0.3808317184448242,-0.36732161045074463,0.6501322388648987,1.6982126498410162,0.24195170165069552,0.0057626330714227,0.0037464735404809475
train,test,ndvi_diff__max,ndvi_diff,max,0.032088179141283035,0.038948751986026764,0.7239459156990051,8.923003946419163,0.2851813614604907,0.0050676203171621,0.003668683030922799
train,test,b02_2022__p10,b02_2022,p10,0.3121403753757477,0.3294445276260376,1.0700403451919556,1.714933799947183,0.2665421839988831,0.0033726768632873,0.0036089003150128643
train,test,b02_2022__p75,b02_2022,p75,0.40771064162254333,0.3920980989933014,0.718315064907074,0.6836540860859839,0.11854554445628054,0.0041017474166126,0.0029463469617965025
train,test,b08_2018__max,b08_2018,max,0.14533406496047974,0.14743134379386902,0.08137369155883789,2.039464335144544,0.27340128028350996,0.0348855252222051,0.002838763969299778
train,test,b02_2018__p25,b02_2018,p25,0.2390047311782837,0.23089154064655304,0.6024090051651001,0.9044965580854512,0.1521667985370989,0.0044497052306964,0.0026805425013017607
train,test,b03_2018__max,b03_2018,max,0.13813358545303345,0.14168119430541992,0.22371508181095123,2.6914682874168654,0.27588294623977705,0.0113753033086488,0.0025448269103187505
train,test,ndvi_diff__std,ndvi_diff,std,0.0029857917688786983,0.002712773624807596,0.25486189126968384,1.0457080782748098,0.15920039618643897,0.0095992758170079,0.002446489589541973
train,test,b08_2022__mean,b08_2022,mean,-0.3538043797016144,-0.3472609519958496,0.3466958701610565,1.7690215255106987,0.2676959727940117,0.0066609903354738,0.002309337840491477
train,test,b04_2022__p25,b04_2022,p25,0.4874062240123749,0.4746040403842926,0.5951128602027893,0.851121245802678,0.14434745568322327,0.0034197675986623,0.0020351476768687457
train,test,b02_2018__min,b02_2018,min,0.1345527470111847,0.14117366075515747,0.27000218629837036,0.10429036234516986,0.01861079216018352,0.006791210971111,0.001833641809813449
train,test,b02_2022__mean,b02_2022,mean,0.3754405975341797,0.37082749605178833,0.275602787733078,0.1478339046865052,0.02636556661782132,0.0058906661252557,0.0016234840057252798
train,test,b03_2022__min,b03_2022,min,0.7251445651054382,0.6916253566741943,0.3063999116420746,0.25283182472330273,0.04285352875321441,0.004488769199125,0.0013753584859935658
train,test,b02_2022__p25,b02_2022,p25,0.3426964282989502,0.34942197799682617,0.4860692024230957,0.45720954595417185,0.07937663627461156,0.0028124914291177,0.001367065465773033
train,test,b08_2022__median,b08_2022,median,-0.34961628913879395,-0.34699416160583496,0.14663182199001312,1.977929261994706,0.3041143555726358,0.0072897255860757,0.0010689057444934961
train,test,b02_2018__p10,b02_2018,p10,0.21359148621559143,0.2096908986568451,0.27318015694618225,0.39146714406824534,0.06769512242800335,0.0038318351438013,0.001046781325975536
train,test,ndvi_2022__max,ndvi_2022,max,0.03866387903690338,0.04227318987250328,0.21934345364570618,0.32019353203569706,0.052726326338475196,0.0046570972068721,0.0010215037853190982
train,test,b02_2022__median,b02_2022,median,0.3752148747444153,0.370640367269516,0.2868112623691559,0.18363765569005544,0.03266946926684093,0.0034916797332427,0.0010014530720801364
train,test,b03_2022__std,b03_2022,std,0.022427214309573174,0.02460276149213314,0.1615966409444809,0.3063357652655875,0.05357551067585255,0.0045029585171065,0.0007276629706767511
train,test,b08_2022__max,b08_2022,max,-0.19401393830776215,-0.20061352849006653,0.08161184936761856,0.3341233740637879,0.05882981502862698,0.0085105372676598,0.0006945606855257556
train,test,b04_2018__max,b04_2018,max,0.16075573861598969,0.1610472947359085,0.01632085256278515,1.217617496098627,0.16613328030249513,0.0418343353256524,0.0006827720189120873
train,test,ndvi_2018__max,ndvi_2018,max,0.05727134272456169,0.05887129530310631,0.13418793678283691,0.754421267481121,0.1024702778229418,0.004610169395885,0.0006186291194531858
train,test,ndvi_2022__std,ndvi_2022,std,0.00361243006773293,0.003545556217432022,0.036922018975019455,0.9408783046607839,0.14206417365660534,0.0061895038406913,0.00022852897825196
train,test,b04_2022__p10,b04_2022,p10,0.4524475932121277,0.4519316852092743,0.014443457126617432,0.16728676128960668,0.029719222194370194,0.0034971311600774,5.0510663976735805e-05
train,validation,b02_2022__std,b02_2022,std,0.049857623875141144,0.052965130656957626,0.22371503710746765,0.2308028076683396,0.04097324372623526,0.0348229838980336,0.007790425134941335
